Candidato,Video,img,O_prediction,C_prediction,E_prediction,A_prediction,N_prediction
Abinader,Abinader1,Abinader1_resultadoskeyframe_116.jpg,0.54191506,0.51124644,0.44319665,0.52610683,0.49399737
Abinader,Abinader1,Abinader1_resultadoskeyframe_164.jpg,0.5586382,0.5213991,0.4638681,0.5382551,0.5102781
Abinader,Abinader1,Abinader1_resultadoskeyframe_18.jpg,0.5334301,0.51088405,0.435506,0.52186185,0.49149352
Abinader,Abinader1,Abinader1_resultadoskeyframe_277.jpg,0.55655074,0.53482366,0.45993167,0.5384155,0.51286006
Abinader,Abinader1,Abinader1_resultadoskeyframe_395.jpg,0.5365908,0.5050153,0.4375937,0.52120996,0.48856688
Abinader,Abinader1,Abinader1_resultadoskeyframe_403.jpg,0.51373076,0.4941424,0.4103139,0.5082823,0.47620374
Abinader,Abinader1,Abinader1_resultadoskeyframe_508.jpg,0.522173,0.4924959,0.42192248,0.51266235,0.47652417
Abinader,Abinader1,Abinader1_resultadoskeyframe_558.jpg,0.53552616,0.5033716,0.4362533,0.5232513,0.4872189
Abinader,Abinader1,Abinader1_resultadoskeyframe_602.jpg,0.5354122,0.5144676,0.436676,0.5251728,0.49271986
Abinader,Abinader1,Abinader1_resultadoskeyframe_675.jpg,0.53924155,0.5109378,0.44131082,0.52583826,0.49383134
Abinader,Abinader1,Abinader1_resultadoskeyframe_745.jpg,0.51884305,0.49938202,0.41796884,0.51238984,0.47908795
Abinader,Abinader1,Abinader1_resultadoskeyframe_87.jpg,0.52952933,0.509928,0.4310823,0.51828754,0.48632535
Abinader,Abinader2,Abinader2_resultadoskeyframe_120.jpg,0.4106294,0.5125374,0.28579122,0.41962576,0.42799103
Abinader,Abinader2,Abinader2_resultadoskeyframe_18.jpg,0.43985122,0.53227246,0.31560248,0.44787955,0.45569533
Abinader,Abinader2,Abinader2_resultadoskeyframe_215.jpg,0.43957907,0.530936,0.3122207,0.44388312,0.45610574
Abinader,Abinader2,Abinader2_resultadoskeyframe_308.jpg,0.4184879,0.52445436,0.2908659,0.42351663,0.4392599
Abinader,Abinader2,Abinader2_resultadoskeyframe_361.jpg,0.42197263,0.49417552,0.3068524,0.43375486,0.42449993
Abinader,Abinader2,Abinader2_resultadoskeyframe_416.jpg,0.41065717,0.49561805,0.28996316,0.4155279,0.4196457
Abinader,Abinader2,Abinader2_resultadoskeyframe_497.jpg,0.4249813,0.5151019,0.2999803,0.43226355,0.44040245
Abinader,Abinader2,Abinader2_resultadoskeyframe_545.jpg,0.43291894,0.5512448,0.30072996,0.4354706,0.4611902
Abinader,Abinader2,Abinader2_resultadoskeyframe_571.jpg,0.41679233,0.500749,0.2941646,0.42592305,0.42741236
Abinader,Abinader2,Abinader2_resultadoskeyframe_60.jpg,0.4157419,0.51287585,0.2925616,0.42278263,0.4317901
Abinader,Abinader2,Abinader2_resultadoskeyframe_664.jpg,0.4518925,0.5490556,0.32417214,0.45832813,0.46856835
Abinader,Abinader2,Abinader2_resultadoskeyframe_723.jpg,0.4205893,0.48570788,0.30446237,0.42880496,0.41979742
Abinader,Abinader2,Abinader2_resultadoskeyframe_752.jpg,0.43006745,0.5190276,0.30548877,0.43752128,0.44611353
Abinader,Abinader2,Abinader2_resultadoskeyframe_832.jpg,0.3975044,0.5032558,0.27266073,0.40386745,0.4188316
Abinader,Abinader2,Abinader2_resultadoskeyframe_887.jpg,0.4178365,0.50889957,0.29581338,0.42800745,0.42966074
Abinader,Abinader3,Abinader3_resultadoskeyframe_100.jpg,0.59778786,0.5571507,0.49842584,0.5662686,0.5474746
Abinader,Abinader3,Abinader3_resultadoskeyframe_171.jpg,0.5986458,0.55909437,0.5000125,0.5680817,0.5498431
Abinader,Abinader3,Abinader3_resultadoskeyframe_18.jpg,0.5934689,0.5516771,0.49417543,0.5620551,0.5428804
Abinader,Abinader3,Abinader3_resultadoskeyframe_206.jpg,0.5960843,0.5655514,0.5002544,0.5688286,0.5503788
Abinader,Abinader3,Abinader3_resultadoskeyframe_251.jpg,0.58734727,0.54867935,0.48819974,0.5617205,0.5376428
Abinader,Abinader3,Abinader3_resultadoskeyframe_341.jpg,0.5817415,0.5379337,0.48334855,0.552151,0.5288209
Abinader,Abinader3,Abinader3_resultadoskeyframe_39.jpg,0.5951568,0.55243266,0.49610934,0.5636947,0.54571104
Abinader,Abinader3,Abinader3_resultadoskeyframe_461.jpg,0.58729637,0.5364975,0.489854,0.55611193,0.5330366
Abinader,Abinader3,Abinader3_resultadoskeyframe_557.jpg,0.59210956,0.5540141,0.4926091,0.5633205,0.54278576
Abinader,Abinader3,Abinader3_resultadoskeyframe_641.jpg,0.59801346,0.55689526,0.49970347,0.56631196,0.54880524
Abinader,Abinader3,Abinader3_resultadoskeyframe_687.jpg,0.6015971,0.5569333,0.5034997,0.56726986,0.5510359
Abinader,Abinader3,Abinader3_resultadoskeyframe_746.jpg,0.5777421,0.5338038,0.48090422,0.5524744,0.52691764
Abinader,Abinader3,Abinader3_resultadoskeyframe_785.jpg,0.5946921,0.5576358,0.49692398,0.56539184,0.54523563
Abinader,Abinader3,Abinader3_resultadoskeyframe_854.jpg,0.58960235,0.53644335,0.48838502,0.5575974,0.53594565
Abinader,Abinader3,Abinader3_resultadoskeyframe_875.jpg,0.6049223,0.55513626,0.5056567,0.57040393,0.5507276
Abinader,Abinader4,Abinader4_resultadoskeyframe_122.jpg,0.4363745,0.5396292,0.3094964,0.4425889,0.45660973
Abinader,Abinader4,Abinader4_resultadoskeyframe_160.jpg,0.41416383,0.52297264,0.28833634,0.4200526,0.43646035
Abinader,Abinader4,Abinader4_resultadoskeyframe_18.jpg,0.43686092,0.5322207,0.30833685,0.4388743,0.45575097
Abinader,Abinader4,Abinader4_resultadoskeyframe_189.jpg,0.41295093,0.5069404,0.2880824,0.41981328,0.43010354
Abinader,Abinader4,Abinader4_resultadoskeyframe_242.jpg,0.43898803,0.5548942,0.30821383,0.44313186,0.46463928
Abinader,Abinader4,Abinader4_resultadoskeyframe_302.jpg,0.43767354,0.5329733,0.31145826,0.4404027,0.45355123
Abinader,Abinader4,Abinader4_resultadoskeyframe_385.jpg,0.43117148,0.53928065,0.29985318,0.43289834,0.45602065
Abinader,Abinader4,Abinader4_resultadoskeyframe_427.jpg,0.42098114,0.52407944,0.29142594,0.42300266,0.44243324
Abinader,Abinader4,Abinader4_resultadoskeyframe_464.jpg,0.43533552,0.53129005,0.3119709,0.44367558,0.45165282
Abinader,Abinader4,Abinader4_resultadoskeyframe_502.jpg,0.43372923,0.5182307,0.3118274,0.43860853,0.44452387
Abinader,Abinader4,Abinader4_resultadoskeyframe_534.jpg,0.41391516,0.52287066,0.28844392,0.42396894,0.43229634
Abinader,Abinader4,Abinader4_resultadoskeyframe_567.jpg,0.42958748,0.5188352,0.30254412,0.43309155,0.448371
Abinader,Abinader4,Abinader4_resultadoskeyframe_59.jpg,0.4413212,0.5444263,0.31432086,0.4477409,0.46110284
Abinader,Abinader4,Abinader4_resultadoskeyframe_611.jpg,0.42866153,0.5425086,0.29751235,0.42627683,0.45726326
Abinader,Abinader4,Abinader4_resultadoskeyframe_662.jpg,0.41356516,0.4974648,0.2933569,0.42355376,0.4249302
Abinader,Abinader4,Abinader4_resultadoskeyframe_697.jpg,0.41926625,0.5073357,0.29371852,0.42547888,0.43424478
Abinader,Abinader4,Abinader4_resultadoskeyframe_781.jpg,0.45138463,0.5564941,0.32118872,0.45407286,0.47439027
Abinader,Abinader4,Abinader4_resultadoskeyframe_815.jpg,0.4457621,0.5484128,0.31940562,0.44906253,0.46585488
Abinader,Abinader4,Abinader4_resultadoskeyframe_859.jpg,0.4289879,0.5373069,0.29964295,0.4303601,0.45347098
Abinader,Abinader5,Abinader5_resultadoskeyframe_12.jpg,0.58251655,0.5512015,0.4783991,0.56139636,0.5344114
Abinader,Abinader5,Abinader5_resultadoskeyframe_120.jpg,0.5599504,0.53549707,0.45707303,0.549164,0.5158887
Abinader,Abinader5,Abinader5_resultadoskeyframe_157.jpg,0.56699437,0.54344267,0.466368,0.55246055,0.52338344
Abinader,Abinader5,Abinader5_resultadoskeyframe_231.jpg,0.56585217,0.5239915,0.4644503,0.5437149,0.51232105
Abinader,Abinader5,Abinader5_resultadoskeyframe_309.jpg,0.5690348,0.5161153,0.46705508,0.54533815,0.51255554
Abinader,Abinader5,Abinader5_resultadoskeyframe_430.jpg,0.56406057,0.53789735,0.46325004,0.5523765,0.5195971
Abinader,Abinader5,Abinader5_resultadoskeyframe_473.jpg,0.56981874,0.53550756,0.46747136,0.5476872,0.51896155
Abinader,Abinader5,Abinader5_resultadoskeyframe_50.jpg,0.577134,0.5447264,0.47463202,0.5562215,0.52837586
Abinader,Abinader5,Abinader5_resultadoskeyframe_505.jpg,0.570991,0.5443095,0.4690518,0.55738264,0.52609533
Abinader,Abinader5,Abinader5_resultadoskeyframe_562.jpg,0.5691366,0.55147153,0.4683432,0.55788654,0.52858186
Abinader,Abinader5,Abinader5_resultadoskeyframe_595.jpg,0.5782603,0.5434476,0.476061,0.5565964,0.5291532
Abinader,Abinader5,Abinader5_resultadoskeyframe_628.jpg,0.5703528,0.5484712,0.46944696,0.55959034,0.5270426
Abinader,Abinader5,Abinader5_resultadoskeyframe_685.jpg,0.5822496,0.55481535,0.48185977,0.56436574,0.5376482
Abinader,Abinader5,Abinader5_resultadoskeyframe_729.jpg,0.56755865,0.5517424,0.46409935,0.5580722,0.5262208
Abinader,Abinader5,Abinader5_resultadoskeyframe_774.jpg,0.5727515,0.5416152,0.46993002,0.5538933,0.52427936
Abinader,Abinader5,Abinader5_resultadoskeyframe_818.jpg,0.5789605,0.54858637,0.4772873,0.5609039,0.53343916
Abinader,Abinader5,Abinader5_resultadoskeyframe_862.jpg,0.57127225,0.540716,0.46713543,0.5535004,0.52391434
Abinader,Abinader5,Abinader5_resultadoskeyframe_900.jpg,0.58526915,0.53765666,0.47968793,0.55585253,0.52799374
Abinader,Abinader6,Abinader6_resultadoskeyframe_118.jpg,0.54558784,0.47809517,0.43591446,0.5253395,0.48364872
Abinader,Abinader6,Abinader6_resultadoskeyframe_150.jpg,0.53839374,0.4879088,0.43269378,0.52565527,0.48565707
Abinader,Abinader6,Abinader6_resultadoskeyframe_179.jpg,0.54236203,0.49508107,0.43961006,0.5304835,0.4882812
Abinader,Abinader6,Abinader6_resultadoskeyframe_21.jpg,0.54215753,0.47471738,0.43504953,0.52510965,0.47994596
Abinader,Abinader6,Abinader6_resultadoskeyframe_218.jpg,0.55328345,0.49929518,0.44756842,0.5400623,0.5029156
Abinader,Abinader6,Abinader6_resultadoskeyframe_279.jpg,0.5514428,0.504264,0.44401115,0.54076564,0.50355595
Abinader,Abinader6,Abinader6_resultadoskeyframe_340.jpg,0.5382056,0.49275765,0.4378326,0.5274396,0.48708868
Abinader,Abinader6,Abinader6_resultadoskeyframe_398.jpg,0.5503456,0.50154626,0.44336355,0.5400349,0.5007543
